"gameID","home","away","OT","SO"
122,"San Jose Sharks","Nashville Predators",0,0
123,"Winnipeg Jets","Buffalo Sabres",0,0
124,"Detroit Red Wings","Florida Panthers",0,0
125,"Carolina Hurricanes","Philadelphia Flyers",0,0
126,"New York Islanders","Toronto Maple Leafs",0,0
127,"New York Rangers","Tampa Bay Lightning",0,0
128,"Chicago Blackhawks","Los Angeles Kings",0,0
129,"Edmonton Oilers","Ottawa Senators",0,0
130,"Calgary Flames","Washington Capitals",0,0
131,"New York Islanders","Tampa Bay Lightning",0,0
132,"New York Rangers","St. Louis Blues",0,0
133,"Columbus Blue Jackets","Dallas Stars",1,0
134,"Toronto Maple Leafs","Edmonton Oilers",1,0
135,"Ottawa Senators","Carolina Hurricanes",1,0
136,"Florida Panthers","Boston Bruins",0,0
137,"Minnesota Wild","Buffalo Sabres",0,0
138,"Winnipeg Jets","Washington Capitals",0,0
139,"Chicago Blackhawks","Calgary Flames",0,0
140,"Colorado Avalanche","Nashville Predators",0,0
141,"Arizona Coyotes","San Jose Sharks",0,0
142,"Los Angeles Kings","Anaheim Ducks",0,0
143,"Montréal Canadiens","Vancouver Canucks",0,0
144,"Philadelphia Flyers","Detroit Red Wings",1,0
145,"Anaheim Ducks","Pittsburgh Penguins",0,0
146,"Buffalo Sabres","Toronto Maple Leafs",0,0
147,"New York Islanders","Philadelphia Flyers",1,1
148,"New York Rangers","Edmonton Oilers",0,0
149,"Washington Capitals","Winnipeg Jets",1,0
150,"Ottawa Senators","Vancouver Canucks",0,0
151,"Tampa Bay Lightning","Boston Bruins",1,1
152,"Florida Panthers","New Jersey Devils",1,0
153,"Chicago Blackhawks","Colorado Avalanche",0,0
154,"Dallas Stars","St. Louis Blues",0,0
155,"Arizona Coyotes","Nashville Predators",1,1
156,"Los Angeles Kings","Pittsburgh Penguins",1,0
157,"San Jose Sharks","Calgary Flames",0,0
158,"Columbus Blue Jackets","Montréal Canadiens",0,0
159,"Detroit Red Wings","Winnipeg Jets",0,0
160,"Anaheim Ducks","Arizona Coyotes",0,0
161,"Colorado Avalanche","Minnesota Wild",0,0
162,"Boston Bruins","New York Rangers",0,0
163,"Toronto Maple Leafs","Vancouver Canucks",0,0
164,"Montréal Canadiens","Philadelphia Flyers",0,0
165,"Ottawa Senators","Buffalo Sabres",0,0
166,"Tampa Bay Lightning","New Jersey Devils",0,0
167,"New York Islanders","Edmonton Oilers",1,1
168,"Washington Capitals","Florida Panthers",0,0
169,"St. Louis Blues","Columbus Blue Jackets",1,0
170,"Nashville Predators","Carolina Hurricanes",1,1
171,"Dallas Stars","Chicago Blackhawks",0,0
172,"Los Angeles Kings","Calgary Flames",0,0
173,"San Jose Sharks","Pittsburgh Penguins",0,0
174,"Detroit Red Wings","Edmonton Oilers",0,0
175,"St. Louis Blues","Colorado Avalanche",0,0
176,"Carolina Hurricanes","New Jersey Devils",0,0
177,"New York Rangers","Winnipeg Jets",0,0
178,"Chicago Blackhawks","Dallas Stars",1,0
179,"Anaheim Ducks","Calgary Flames",0,0
180,"Boston Bruins","Buffalo Sabres",0,0
181,"New York Islanders","Vancouver Canucks",0,0
182,"Florida Panthers","Tampa Bay Lightning",0,0
183,"New Jersey Devils","Carolina Hurricanes",1,1
184,"New York Rangers","Vancouver Canucks",0,0
185,"Philadelphia Flyers","Detroit Red Wings",1,1
186,"Pittsburgh Penguins","Edmonton Oilers",0,0
187,"Washington Capitals","San Jose Sharks",0,0
188,"Toronto Maple Leafs","Los Angeles Kings",0,0
189,"Montréal Canadiens","Boston Bruins",0,0
190,"Nashville Predators","Ottawa Senators",0,0
191,"Winnipeg Jets","Dallas Stars",0,0
192,"Colorado Avalanche","Arizona Coyotes",0,0
193,"Columbus Blue Jackets","Anaheim Ducks",1,0
194,"Buffalo Sabres","Ottawa Senators",1,1
195,"St. Louis Blues","Chicago Blackhawks",1,0
196,"Boston Bruins","Columbus Blue Jackets",0,0
197,"Pittsburgh Penguins","Minnesota Wild",0,0
198,"Carolina Hurricanes","Anaheim Ducks",0,0
199,"Montréal Canadiens","Los Angeles Kings",0,0
200,"Detroit Red Wings","Vancouver Canucks",0,0
201,"Tampa Bay Lightning","New York Islanders",0,0
